node_id,node_name,node_type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,feat_name,score,mean,std,dist
0,adservice-0,pod,0.044121753,0.0,0.49540448,0.59149814,0.0,0.0,0.0,0.0,0.031655204,0.093675494,0.0,0.0,0.28231525,0.60941356,feat,0.0,0.38779830125000003,0.14678748279114062,0.011471613
0,adservice-0,pod,0.043376632,0.0014638698,0.49017915,0.57698953,2.4519812e-08,1.7648413e-09,1.7720364e-08,3.2716092e-09,0.081826,0.27530092,3.0944204e-08,3.6278852e-08,0.41512898,0.71210337,feat_mean,0.0,0.38779830125000003,0.14678748279114062,0.011471613
0,adservice-0,pod,0.041727725,5.5004515e-05,0.49725062,0.5860224,4.4322146e-10,1.585997e-12,2.7467492e-10,2.7578543e-12,0.039195538,0.12047506,4.1569356e-10,7.272142e-10,0.2753216,0.6067993,feat_pred,0.0,0.38779830125000003,0.14678748279114062,0.011471613
1,adservice-1,pod,0.013333758,0.0,0.026079416,0.019269466,0.0,0.0,0.0,0.0,0.48399165,0.3854161,0.0,0.0,0.0,0.6056843,feat,0.0,0.6700404118819444,0.09666091598535252,0.41835877
1,adservice-1,pod,0.023275826,0.0015770261,0.120704904,0.13323706,3.1356976e-07,2.895224e-09,3.992272e-08,4.026703e-09,0.08177152,0.46573102,1.6647907e-07,4.9248825e-07,0.33349112,0.70640016,feat_mean,0.0,0.6700404118819444,0.09666091598535252,0.41835877
1,adservice-1,pod,0.04251577,3.7605492e-05,0.03377788,0.021217728,2.8244307e-07,1.3346617e-09,1.2749924e-08,4.3640735e-10,0.49968764,0.42317474,2.642678e-07,6.4067785e-07,0.029405512,0.60648817,feat_pred,0.0,0.6700404118819444,0.09666091598535252,0.41835877
2,adservice-2,pod,0.0073558353,0.0,0.005184889,0.001270771,0.0,0.0,0.0,0.0,0.0430558,0.43374586,0.0,0.0,0.0,0.60815495,feat,0.0,0.7060357979097223,0.09464153751902397,9.703264e-07
2,adservice-2,pod,0.02824186,0.0016509774,0.15678991,0.17461517,3.8717727e-07,5.37925e-09,5.4904348e-08,8.067621e-09,0.09344688,0.53292406,2.1011483e-07,6.3688145e-07,0.34688675,0.7096812,feat_mean,0.0,0.7060357979097223,0.09464153751902397,9.703264e-07
2,adservice-2,pod,0.013933699,4.38201e-06,0.027422654,0.020158038,7.646243e-07,1.6796475e-09,3.1820125e-08,5.270146e-10,0.04419781,0.45692822,4.0628845e-07,1.5089955e-06,0.029858666,0.60632926,feat_pred,0.0,0.7060357979097223,0.09464153751902397,9.703264e-07
3,adservice2-0,pod,0.042778533,0.0,0.99923825,0.9993429,0.0,0.0,0.0,0.0,0.020704512,0.4702345,0.0,0.0,0.9314803,0.3559414,feat,0.0,0.15800005470978276,0.11468597530133019,0.073579505
3,adservice2-0,pod,0.05461338,0.0012833313,0.9515158,0.94988453,1.8586452e-07,8.015716e-08,1.569348e-07,5.2183672e-08,0.06772024,0.6479136,1.3393932e-07,2.0488756e-07,0.9472545,0.47180745,feat_mean,0.0,0.15800005470978276,0.11468597530133019,0.073579505
3,adservice2-0,pod,0.03365942,0.00014569687,0.9989718,1.0060292,3.8032e-09,2.5776402e-11,2.5816624e-09,4.426206e-11,0.021387836,0.48387188,1.4638638e-09,4.606017e-09,0.95035946,0.38032818,feat_pred,0.0,0.15800005470978276,0.11468597530133019,0.073579505
4,cartservice-0,pod,0.058619663,0.0,0.8142345,0.80070996,0.0,0.0,0.0,0.0,0.044104837,0.41914284,0.0,0.0,0.10337353,0.64894676,feat,0.0,0.25363416629734975,0.1798209152280336,0.09051777
4,cartservice-0,pod,0.076305166,0.0012758399,0.75118303,0.724778,9.89103e-09,8.5681484e-10,7.725449e-09,1.7103254e-09,0.104734935,0.53342986,1.3965522e-08,1.52695e-08,0.14026946,0.73124963,feat_mean,0.0,0.25363416629734975,0.1798209152280336,0.09051777
4,cartservice-0,pod,0.05558093,0.0001410275,0.8203213,0.783202,4.823859e-10,1.306204e-12,4.0677872e-10,3.2875378e-12,0.043322742,0.44390267,3.6035094e-10,9.0112606e-10,0.1225561,0.65057063,feat_pred,0.0,0.25363416629734975,0.1798209152280336,0.09051777
5,cartservice-1,pod,0.065432936,0.0,0.9148628,0.9092672,0.0,0.0,0.0,0.0,0.50070065,0.31373608,0.0,0.0,0.7656627,0.6539887,feat,0.8249071218673698,0.24162520372074808,0.18009567967279536,0.3901874
5,cartservice-1,pod,0.07303453,0.0014954612,0.88010144,0.84958017,1.7310356e-08,4.56166e-10,1.2238825e-08,1.2025239e-09,0.106184915,0.5309437,1.4177289e-08,2.4307234e-08,0.7556536,0.74659896,feat_mean,0.8249071218673698,0.24162520372074808,0.18009567967279536,0.3901874
5,cartservice-1,pod,0.06918144,0.0005215724,0.9088253,0.9217432,5.7166454e-09,5.2138235e-11,3.480314e-09,1.0173417e-10,0.4882759,0.32789028,4.3161874e-09,8.76862e-09,0.77049,0.66087896,feat_pred,0.8249071218673698,0.24162520372074808,0.18009567967279536,0.3901874
6,cartservice-2,pod,0.059663817,0.0,0.8846422,0.88983446,0.0,0.0,0.0,0.0,0.03564817,0.4925571,0.0,0.0,0.7868413,0.6369058,feat,0.0,0.22672972965385246,0.12122355315234677,0.043175634
6,cartservice-2,pod,0.0727545,0.0006714743,0.8598767,0.8467343,1.7857396e-08,2.1953953e-10,1.0500033e-08,4.8459436e-10,0.09046531,0.5893279,1.13356124e-08,2.4693664e-08,0.8029556,0.7278135,feat_mean,0.0,0.22672972965385246,0.12122355315234677,0.043175634
6,cartservice-2,pod,0.05277208,0.00018176314,0.8808521,0.8844724,8.157897e-09,5.479789e-11,5.5783005e-09,1.0590651e-10,0.038312312,0.506994,4.4095514e-09,1.093039e-08,0.79514366,0.6370425,feat_pred,0.0,0.22672972965385246,0.12122355315234677,0.043175634
7,cartservice2-0,pod,0.027059212,0.0,0.90363324,0.85783845,0.0,0.0,0.0,0.0,0.045270853,0.7092757,0.0,0.0,0.77210814,0.428984,feat,0.22573582647771542,0.1005434403972692,0.14780688006001386,0.13390875
7,cartservice2-0,pod,0.09655125,0.041482907,0.9406961,0.87956643,2.3166368e-08,1.1069784e-09,1.8991543e-08,2.9035025e-09,0.08363521,0.5941587,2.0502602e-08,2.9903457e-08,0.78578407,0.5137717,feat_mean,0.22573582647771542,0.1005434403972692,0.14780688006001386,0.13390875
7,cartservice2-0,pod,0.030214451,0.00011850826,0.9016469,0.81722414,2.614578e-08,1.677604e-10,1.3169964e-08,2.46962e-10,0.029611502,0.72806746,8.714499e-09,3.3254278e-08,0.7781157,0.43776134,feat_pred,0.22573582647771542,0.1005434403972692,0.14780688006001386,0.13390875
8,checkoutservice-0,pod,0.019055733,0.004393823,0.09189224,0.12347782,0.0,0.0,0.0,0.0,0.029148005,0.29894626,0.0,0.0,0.0,0.48680243,feat,0.0,0.9007626179666435,0.4599656723222596,0.0
8,checkoutservice-0,pod,0.27019632,0.078779235,0.3879073,0.31074858,4.787085e-07,2.340294e-08,2.0409287e-07,4.164983e-08,0.07609345,0.55712813,4.300083e-07,7.212192e-07,0.39757225,0.60439724,feat_mean,0.0,0.9007626179666435,0.4599656723222596,0.0
8,checkoutservice-0,pod,0.011323107,8.4083285e-06,0.09822383,0.07911665,1.4876183e-07,3.1658334e-10,1.6505608e-08,1.7964076e-10,0.02748397,0.29861382,7.100155e-08,2.7295027e-07,0.04602405,0.48222575,feat_pred,0.0,0.9007626179666435,0.4599656723222596,0.0
9,checkoutservice-1,pod,0.015356291,0.012734334,0.011254072,0.007871747,0.0,0.0,0.0,0.0,0.47864088,0.32682008,0.0,0.0,0.0,0.6819308,feat,0.0,0.7941512703750001,0.3247520664340612,0.42762646
9,checkoutservice-1,pod,0.20431642,0.026574526,0.41781363,0.26977304,4.0017594e-07,9.39365e-09,1.3621597e-07,1.9128233e-08,0.0819583,0.58622205,2.9012108e-07,6.409618e-07,0.41521138,0.6477805,feat_mean,0.0,0.7941512703750001,0.3247520664340612,0.42762646
9,checkoutservice-1,pod,0.044041142,2.961674e-05,0.028781224,0.018094687,1.6825156e-07,7.3099543e-10,7.467296e-09,2.4304742e-10,0.50857234,0.34583914,1.852526e-07,3.922194e-07,0.029538188,0.6771885,feat_pred,0.0,0.7941512703750001,0.3247520664340612,0.42762646
10,checkoutservice-2,pod,0.014402031,0.0007979551,0.022345304,0.024519444,0.0,0.0,0.0,0.0,0.04151959,0.24070346,0.0,0.0,0.0,0.6825969,feat,0.0,1.0160458243671766,0.07832106828803798,0.05792433
10,checkoutservice-2,pod,0.2950934,0.060499866,0.42038977,0.22831388,3.610247e-07,1.9913882e-08,2.3134042e-07,4.291655e-08,0.08264806,0.5322252,4.234606e-07,5.3939016e-07,0.39228165,0.6277276,feat_mean,0.0,1.0160458243671766,0.07832106828803798,0.05792433
10,checkoutservice-2,pod,0.01698741,5.505702e-06,0.037269704,0.028657394,1.0485986e-07,2.177118e-10,6.9951813e-09,9.529882e-11,0.049906466,0.23936129,8.1666656e-08,2.1563542e-07,0.034679905,0.68565196,feat_pred,0.0,1.0160458243671766,0.07832106828803798,0.05792433
11,checkoutservice2-0,pod,0.0075417864,0.0017197819,0.42893445,0.4138981,0.0,0.0,0.0,0.0,0.024408657,0.10581422,0.0,0.0,0.7729428,0.3487382,feat,0.0,0.391468904856342,0.3207065632422772,0.012996614
11,checkoutservice2-0,pod,0.0491005,0.010371936,0.42812788,0.3847089,1.9507488e-07,5.1300026e-09,7.3021035e-08,9.307439e-09,0.070865706,0.45053986,1.4338111e-07,2.6847044e-07,0.7821356,0.6516317,feat_mean,0.0,0.391468904856342,0.3207065632422772,0.012996614
11,checkoutservice2-0,pod,0.023286248,4.0143834e-05,0.40442425,0.39770553,6.738527e-09,4.7240628e-11,2.372024e-09,4.460164e-11,0.02486604,0.12638614,4.0335633e-09,8.598577e-09,0.7682163,0.36938894,feat_pred,0.0,0.391468904856342,0.3207065632422772,0.012996614
12,currencyservice-0,pod,0.033713687,0.0,0.16227674,0.09865737,0.0,0.0,0.0,0.0,0.075794384,0.34734076,0.0,0.0,0.0,0.6471412,feat,0.0,0.5004815348194445,0.2792536260047138,0.0
12,currencyservice-0,pod,0.08421591,0.0026091211,0.25991952,0.17072783,1.6851284e-07,4.9404814e-09,6.3233536e-08,6.837289e-09,0.15815797,0.47688577,1.8872083e-07,2.766375e-07,0.29670098,0.7440417,feat_mean,0.0,0.5004815348194445,0.2792536260047138,0.0
12,currencyservice-0,pod,0.024255257,2.3776489e-05,0.13068464,0.09274163,8.969738e-08,2.4855215e-10,1.3179588e-08,1.8208829e-10,0.061151236,0.37451333,6.117005e-08,1.771243e-07,0.051122695,0.65052587,feat_pred,0.0,0.5004815348194445,0.2792536260047138,0.0
13,currencyservice-1,pod,0.037507344,0.0,0.15443349,0.2689234,0.0,0.0,0.0,0.0,0.085161164,0.22766924,0.0,0.0,0.3963008,0.6777146,feat,0.0,0.3096512607195247,0.21572756042400223,0.0
