node_id,node_name,node_type,0,1,2,3,4,5,6,7,feat_name,score,mean,std,dist
0,ts-assurance-service-69876c9868-tsp2m,pod,0.3691607,0.21126714,0.10798645,0.1078949,0.0,0.0,0.6417183,0.928456,feat,0.35285561525782705,0.017148189789791664,0.006146291794106459,0.019316943
0,ts-assurance-service-69876c9868-tsp2m,pod,0.3525441,0.21725272,0.104048826,0.103519954,2.5271063e-05,1.6721122e-05,0.6375989,0.9253593,feat_mean,0.35285561525782705,0.017148189789791664,0.006146291794106459,0.019316943
0,ts-assurance-service-69876c9868-tsp2m,pod,0.3691607,0.21126714,0.10798645,0.1078949,0.0,0.0,0.6417183,0.928456,feat_pred,0.35285561525782705,0.017148189789791664,0.006146291794106459,0.019316943
1,ts-auth-service-7f8d7d756d-vx7bh,pod,0.69483644,0.56084085,0.69763184,0.6976013,0.0,0.0,0.6500085,0.88482237,feat,0.4114205308007564,0.017674442157804168,0.014345419230708735,0.023576442
1,ts-auth-service-7f8d7d756d-vx7bh,pod,0.6755246,0.55932873,0.70224124,0.7086674,2.6702111e-05,1.5996276e-05,0.6439343,0.8847072,feat_mean,0.4114205308007564,0.017674442157804168,0.014345419230708735,0.023576442
1,ts-auth-service-7f8d7d756d-vx7bh,pod,0.69483644,0.56084085,0.69763184,0.6976013,0.0,0.0,0.6500085,0.88482237,feat_pred,0.4114205308007564,0.017674442157804168,0.014345419230708735,0.023576442
2,ts-basic-service-5dc8d4f9fd-58xkn,pod,0.61919403,0.46654782,0.4706421,0.4702835,0.0,0.0,0.8146895,0.94345385,feat,0.6350252766092038,0.012198425527986112,0.005605236333012024,0.015757892
2,ts-basic-service-5dc8d4f9fd-58xkn,pod,0.61192244,0.45744175,0.4780167,0.47729182,2.892792e-05,1.7210134e-05,0.8151563,0.94641936,feat_mean,0.6350252766092038,0.012198425527986112,0.005605236333012024,0.015757892
2,ts-basic-service-5dc8d4f9fd-58xkn,pod,0.61919403,0.46654782,0.4706421,0.4702835,0.0,0.0,0.8146895,0.94345385,feat_pred,0.6350252766092038,0.012198425527986112,0.005605236333012024,0.015757892
3,ts-cancel-service-756f6c4675-n8l65,pod,0.35883537,0.25909582,0.72892,0.7285805,0.0,0.0,0.40675294,0.87185454,feat,2.4831232132484873,0.011864843235900695,0.00738974341259764,0.030214487
