u,u_name,v,v_name,score_diff,score,score_counter
250,ts-train-service-HTTP GET /api/v1/trainservice/trains/byName/{name},23,ts-basic-service-HTTP GET /api/v1/trainservice/trains/byName/{name},11.167257956959489,11.167257956959489,0.0
29,ts-basic-service-HTTP POST /api/v1/trainservice/trains/byNames,18,ts-basic-service-BasicController.queryForTravels,16.990699386818736,16.990699386818736,0.0
251,ts-train-service-HTTP POST /api/v1/trainservice/trains/byNames,29,ts-basic-service-HTTP POST /api/v1/trainservice/trains/byNames,24.42131611460334,24.42131611460334,0.0
18,ts-basic-service-BasicController.queryForTravels,25,ts-basic-service-HTTP POST /api/v1/basicservice/basic/travels,6.119846062403083,6.119846062403083,0.0
23,ts-basic-service-HTTP GET /api/v1/trainservice/trains/byName/{name},17,ts-basic-service-BasicController.queryForTravel,8.556715931527586,8.556715931527586,0.0
275,ts-travel2-service-HTTP POST /api/v1/basicservice/basic/travel,283,ts-travel2-service-Travel2Controller.getTripAllDetailInfo,3.561763987672222,3.561763987672222,0.0
276,ts-travel2-service-HTTP POST /api/v1/basicservice/basic/travels,284,ts-travel2-service-Travel2Controller.queryInfo,5.120859298813467,5.120859298813467,0.0
24,ts-basic-service-HTTP POST /api/v1/basicservice/basic/travel,187,ts-preserve-service-HTTP POST /api/v1/basicservice/basic/travel,10.12070773452216,10.12070773452216,0.0
24,ts-basic-service-HTTP POST /api/v1/basicservice/basic/travel,175,ts-preserve-other-service-HTTP POST /api/v1/basicservice/basic/travel,9.74184729767313,9.74184729767313,0.0
24,ts-basic-service-HTTP POST /api/v1/basicservice/basic/travel,275,ts-travel2-service-HTTP POST /api/v1/basicservice/basic/travel,9.185668898451365,9.185668898451365,0.0
24,ts-basic-service-HTTP POST /api/v1/basicservice/basic/travel,261,ts-travel-service-HTTP POST /api/v1/basicservice/basic/travel,7.252774132977028,7.252774132977028,0.0
17,ts-basic-service-BasicController.queryForTravel,24,ts-basic-service-HTTP POST /api/v1/basicservice/basic/travel,8.937591487317329,8.937591487317329,0.0
262,ts-travel-service-HTTP POST /api/v1/basicservice/basic/travels,271,ts-travel-service-TravelController.queryInfo,4.658702519522494,4.658702519522494,0.0
261,ts-travel-service-HTTP POST /api/v1/basicservice/basic/travel,270,ts-travel-service-TravelController.getTripAllDetailInfo,3.032444086739075,3.032444086739075,0.0
249,ts-train-food-service-TrainFoodRepository.findByTripId,248,ts-train-food-service-TrainFoodController.getTrainFoodOfTrip,3.5872480154308666,3.5872480154308666,0.0
245,ts-train-food-service-SELECT TrainFood,249,ts-train-food-service-TrainFoodRepository.findByTripId,6.77770597956523,6.77770597956523,0.0
279,ts-travel2-service-HTTP POST /api/v1/travel2service/trips/left,89,ts-gateway-service-HTTP POST /api/v1/travel2service/trips/left,5.417919931896395,5.417919931896395,0.0
25,ts-basic-service-HTTP POST /api/v1/basicservice/basic/travels,276,ts-travel2-service-HTTP POST /api/v1/basicservice/basic/travels,8.949207635939565,8.949207635939565,0.0
25,ts-basic-service-HTTP POST /api/v1/basicservice/basic/travels,262,ts-travel-service-HTTP POST /api/v1/basicservice/basic/travels,8.51662200934543,8.51662200934543,0.0
89,ts-gateway-service-HTTP POST /api/v1/travel2service/trips/left,80,ts-gateway-service-/*,3.1058208248925077,9.954861586266558,6.8490407613740505
244,ts-train-food-service-HTTP GET /api/v1/trainfoodservice/trainfoods/{tripId},71,ts-food-service-HTTP GET /api/v1/trainfoodservice/trainfoods/{tripId},3.5338060709264107,3.5338060709264107,0.0
284,ts-travel2-service-Travel2Controller.queryInfo,279,ts-travel2-service-HTTP POST /api/v1/travel2service/trips/left,6.5685962872765895,6.5685962872765895,0.0
271,ts-travel-service-TravelController.queryInfo,265,ts-travel-service-HTTP POST /api/v1/travelservice/trips/left,3.7365737859454686,3.7365737859454686,0.0
278,ts-travel2-service-HTTP POST /api/v1/travel2service/trip_detail,180,ts-preserve-other-service-HTTP POST /api/v1/travel2service/trip_detail,4.172433545070497,4.172433545070497,0.0
