u,u_name,v,v_name,score_diff,score,score_counter
278,ts-travel2-service-HTTP POST /api/v1/travel2service/trip_detail,180,ts-preserve-other-service-HTTP POST /api/v1/travel2service/trip_detail,2.9644113933419156,2.9644113933419156,0.0
254,ts-train-service-SELECT ts.train_type,253,ts-train-service-SELECT train_type,3.4920026947674008,3.4920026947674008,0.0
23,ts-train-service-86f5f97bc9-f7687,253,ts-train-service-SELECT train_type,-0.10438639953272721,3.4920026947674008,3.596389094300128
23,ts-train-service-86f5f97bc9-f7687,256,ts-train-service-TrainTypeRepository.findByName,0.0002723200083631916,2.9967437192803983,2.996471399272035
283,ts-travel2-service-Travel2Controller.getTripAllDetailInfo,278,ts-travel2-service-HTTP POST /api/v1/travel2service/trip_detail,3.073162082199504,3.073162082199504,0.0
25,ts-travel2-service-5c66d57d58-klvkm,278,ts-travel2-service-HTTP POST /api/v1/travel2service/trip_detail,-0.0004532834734756186,3.073162082199504,3.0736153656729797
252,ts-train-service-SELECT TrainType,256,ts-train-service-TrainTypeRepository.findByName,2.9967437192803983,2.9967437192803983,0.0
14,ts-preserve-other-service-66646bdb5b-sd2p8,180,ts-preserve-other-service-HTTP POST /api/v1/travel2service/trip_detail,-0.058060170980944736,2.9644113933419156,3.0224715643228603
12,ts-auth-service-SELECT User,16,ts-auth-service-UserRepository.findByUsername,2.899422342077364,2.899422342077364,0.0
1,ts-auth-service-7f8d7d756d-vx7bh,16,ts-auth-service-UserRepository.findByUsername,-0.007962345115124059,2.899422342077364,2.907384687192488
